dataset,n_samples,active_dims,mean_latent_corr,max_latent_corr,wscore_mean,wscore_std,cortical_r2,cortical_mse,subcortical_r2,subcortical_mse,surface_r2,surface_mse
train,20591,32,0.0213459844342983,0.4915646276254704,0.0007329013315029,0.8528162240982056,0.728331983089447,0.1689887195825576,0.8647710680961609,0.0985943377017974,0.704866349697113,0.1851688027381897
test,8259,32,0.0405858961907703,0.4482147040713555,-0.0191267430782318,0.9125409722328186,0.7237558960914612,0.2341562062501907,0.8375040888786316,0.1339130699634552,0.6784628629684448,0.2315724045038223
external,15321,32,0.04142570033638125,0.5135244507151997,-0.007200826425105333,0.8642157912254333,0.6746669411659241,0.19180740416049957,0.833185076713562,0.14555580914020538,0.6453189253807068,0.19135154783725739
