dataset,n_samples,active_dims,mean_latent_corr,max_latent_corr,wscore_mean,wscore_std,cortical_r2,cortical_mse,subcortical_r2,subcortical_mse,surface_r2,surface_mse
train,20591,20,0.0550712901141635,0.5913885688061997,-0.0032772964332252,0.7336135506629944,0.6896368265151978,0.1930155605077743,0.8226032853126526,0.1305331438779831,0.6526665687561035,0.2187310010194778
test,8259,20,0.073797256267642,0.4354560096720927,0.0209647826850414,0.7787290811538696,0.7007651329040527,0.2534713447093963,0.792251706123352,0.171579360961914,0.65076744556427,0.2517377436161041
external,15321,20,0.08203931518836366,0.46974711350108417,0.004420679993927479,0.7505972981452942,0.6526328325271606,0.20518244802951813,0.7825562357902527,0.19296959042549133,0.6176537275314331,0.20697081089019775
