dataset,n_samples,active_dims,mean_latent_corr,max_latent_corr,wscore_mean,wscore_std,cortical_r2,cortical_mse,subcortical_r2,subcortical_mse,surface_r2,surface_mse
train,20591,5,0.1261546118879114,0.5012654386740216,-0.0012267307611182,0.9696888327598572,0.3797015845775604,0.3859309256076813,0.5932810306549072,0.3055675625801086,0.5471083521842957,0.2882709503173828
test,8259,5,0.1783495434282888,0.3415853269761579,0.0452237240970134,0.9897608160972596,0.4318326711654663,0.4836914539337158,0.5679584741592407,0.3885789215564728,0.5743159055709839,0.3069920539855957
external,15321,5,0.14876834629532273,0.44036296938390485,-0.0001908465346787125,1.0022374391555786,0.32537761330604553,0.3981773853302002,0.5537270307540894,0.43293800950050354,0.52707439661026,0.2572895884513855
