dataset,n_samples,active_dims,mean_latent_corr,max_latent_corr,wscore_mean,wscore_std,cortical_r2,cortical_mse,subcortical_r2,subcortical_mse,surface_r2,surface_mse
train,20591,32,0.0398465887030566,0.3124914842610753,0.0009878656128421,0.9880961179733276,0.7750968337059021,0.1401264816522598,0.9105263352394104,0.0639514699578285,0.7477619647979736,0.1577837318181991
test,8259,32,0.0655144066355645,0.3234717118670238,0.0118974046781659,1.0479862689971924,0.7546592354774475,0.2089956700801849,0.8851125836372375,0.0921479016542434,0.7095231413841248,0.209080696105957
external,15321,32,0.06719218549785076,0.34812804407035297,0.055292557924985886,0.9990155100822449,0.720353364944458,0.16505101323127747,0.8787105083465576,0.10255849361419678,0.6786814332008362,0.17289629578590393
